Stock Number,Stock Name
222961,Kirloskar Oil Engines Limited
100085,Chambal Fertilizers & Chemicals Limited
106222,Styrenix Performance Materials Limited
130343,Genus Power Infrastructures Limited
295872,Gujarat Fluorochemicals Limited
208190,Galaxy Surfactants Limited
106285,Bayer Cropscience Limited
226625,Mas Financial Services Limited
123457,Linde India Limited
100144,Finolex Cables Limited
223187,Kaynes Technology India Limited
235355,Gland Pharma Limited
282626,H.G. Infra Engineering Limited
117334,Samvardhana Motherson International Limited
122205,Praj Industries Limited
288401,Orient Electric Limited
296765,Hitachi Energy India Limited
303157,Rategain Travel Technologies Limited
132548,Century Plyboards (India) Limited
106076,Grindwell Norton Limited
267615,Aavas Financiers Limited
106401,Deepak Nitrite Limited
120057,Jtekt India Limited
210591,Aditya Birla Fashion and Retail Limited
124208,Aarti Industries Limited
132756,CIE Automotive India Limited
235506,Metropolis Healthcare Limited
131266,V.S.T Tillers Tractors Limited
115030,Asahi India Glass Limited
215216,Craftsman Automation Limited
208808,Protean eGov Technologies Limited
100330,Raymond Limited
200020,Brigade Enterprises Limited
100378,Jindal Saw Limited
132689,PVR INOX Limited
132493,Astra Microwave Products Limited
100233,Kajaria Ceramics Limited
122064,Honda India Power Products Limited
132210,City Union Bank Limited
104067,Zensar Technologies Limited
132504,Navin Fluorine International Limited
131599,FDC Limited
218763,Dr. Lal Path Labs Limited
311742,Doms Industries Limited
227347,CARE Ratings Limited
213429,Lemon Tree Hotels Limited
209147,Sai Life Sciences Limited
100425,Ambuja Cements Limited
218764,Thyrocare Technologies Limited
217842,Godrej Agrovet Limited
105790,Schaeffler India Limited
100031,Bajaj Electricals Limited
100870,Castrol India Limited
220519,Bajaj Consumer Care Limited
305179,Harsha Engineers International Limited
222822,Texmaco Rail & Engineering Limited
100133,Esab India Limited
211531,Just Dial Limited
231440,Allied Blenders And Distillers Limited
106943,JB Chemicals & Pharmaceuticals Limited
100444,West Coast Paper Mills Limited
221842,CreditAccess Grameen Limited
209492,UTI Asset Management Company Limited
100304,NIIT Limited
302988,FSN E-Commerce Ventures Limited
120113,Vesuvius India Limited
287433,Acme Solar Holdings Ltd
208763,MTAR Technologies Limited
132796,Lumax Auto Technologies Limited
117015,Vindhya Telelinks Limited
223430,Vedant Fashions Limited
100674,Sanofi India Limited
222554,Data Patterns (India) Limited
105010,Automotive Axles Limited
251940,G R Infraprojects Limited
117506,TTK Prestige Limited
132714,KEC International Limited
242477,Orient Cement Limited
111196,Can Fin Homes Limited
132221,Sonata Software Limited
274045,Rainbow Childrens Medicare Limited
100250,LG Balakrishnan & Bros Limited
315602,Sanofi Consumer Healthcare India Limited
311571,Max Estates Limited
126612,Blue Dart Express Limited
106655,Sudarshan Chemical Industries Limited
209344,Sumitomo Chemical India Limited
213133,Fineotex Chemical Limited
315970,Raymond Lifestyle Limited
209165,Sandhar Technologies Limited
294320,KPIT Technologies Limited
117174,Honeywell Automation India Limited
272156,Greenlam Industries Limited
126807,Seamec Limited
232353,RHI Magnesita India Limited
200094,PNC Infratech Limited
293601,Archean Chemical Industries Limited
214084,Sansera Engineering Limited
210729,SIS Limited
100380,JK Lakshmi Cement Limited
314935,Premier Energies Limited
124051,Polyplex Corporation Limited
208745,Mishra Dhatu Nigam Limited
311915,Stanley Lifestyles Limited
273033,Equitas Small Finance Bank Limited
304683,Venus Pipes And Tubes Limited
209914,Apeejay Surrendra Park Hotels Limited
209220,Sharda Motor Industries Ltd.
100245,Kirloskar Ferrous Industries Limited
100355,Rallis India Limited
132486,Pokarna Limited
130007,JK Tyre & Industries Limited
274083,Landmark Cars Limited
132612,Indoco Remedies Limited
290269,Indiamart Intermesh Limited
273557,Fusion Finance Limited
117168,Subros Ltd
209063,Cyient Dlm Ltd
123395,3M India Limited
256461,Divgi Torqtransfer Systems Limited
211969,Sheela Foam Limited
311991,Bajel Projects Limited
216719,Sanathan Textiles Limited
232356,Aeroflex Industries Limited
301912,Clean Science and Technology Limited
105714,Gabriel India Limited
303146,Go Fashion (India) Limited
207933,Capital Small Finance Bank Limited
311640,R K Swamy Ltd
221217,Wonderla Holidays Limited
200057,Afcons Infrastructure Limited
